CODE;MNEMONIC;NAME;DESCRIPTION;GROUP;NSI_ID;STARTED;REVOKED;EXP;PWR_VIS;PWR_READ;PWR_ISS;CXT;LEGAL_RELATIONS;LAW_DETAILS;autokey
BBDOCS_CNTRCT_INSRNC_LBLT_CNTRCTLBLT21;CNTRCTLBLT21;Заключать и подписывать договоры добровольного страхования гражданской ответственности владельцев авиатранспортных средств и авиаперевозчика за причинение вреда третьим лицам;Заключать и подписывать договоры добровольного страхования гражданской ответственности владельцев авиатранспортных средств и авиаперевозчика за причинение вреда третьим лицам;7411436c-0099-4576-99aa-fc1b16f6f222;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTLBLT21
BBDOCS_CNTRCT_SRVC_BLD_CNTRCTBLD33;CNTRCTBLD33;Заключать и подписывать договоры на осуществление технологического присоединения (технического подключения) к сетям инженерно-технического обеспечения;Заключать и подписывать договоры на осуществление технологического присоединения (технического подключения) к сетям инженерно-технического обеспечения;07fefdc1-7917-4b32-85ed-4ffaa4e7f7dd;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTBLD33
BBDOCS_CNTRCT_OBLGTN_CLLTRL_DOCSCLLTRL1;DOCSCLLTRL1;Подписывать, направлять документы, связанные с исполнением/неисполнением обязательств по договорам ипотеки;Подписывать, направлять документы, связанные с исполнением/неисполнением обязательств по договорам ипотеки;6ebcfc3d-17ba-43d8-99cb-85cc4f5352f4;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSCLLTRL1
BBDOCS_CNTRCT_TRFFC_PICKUP_CNTRCTPICKUP1;CNTRCTPICKUP1;Заключать и подписывать договоры на инкассацию платежных и расчетных документов;Заключать и подписывать договоры на инкассацию платежных и расчетных документов;16a1e7f6-51d6-493d-b306-8ea9a24ed446;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTPICKUP1
BBDOCS_CNTRCT_OBLGTN_GRNT_DOCSGRNT5;DOCSGRNT5;Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам поручительства, договорам о залоге, иным обеспечительным договорам, связанным с выдачей независимых гарантий (банковских гарантий, резервных аккредитивов);Подписывать документы, связанные с исполнением/неисполнением обязательств по договорам поручительства, договорам о залоге, иным обеспечительным договорам, связанным с выдачей независимых гарантий (банковских гарантий, резервных аккредитивов);069d7064-987b-42eb-947c-4216d3decd1d;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSGRNT5
BBDOCS_CNTRCT_RENT_RLESTT_DOCSPRECNTRCTRLESTTGENERAL;DOCSPRECNTRCTRLESTTGENERAL;Подписывать документы, связанные с исполнением/неисполнением обязательств по предварительным договорам аренды объектов недвижимости;Подписывать документы, связанные с исполнением/неисполнением обязательств по предварительным договорам аренды объектов недвижимости;d408c552-1b7e-40d4-a0b1-713580fc2878;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSPRECNTRCTRLESTTGENERAL
BBDOCS_CNTRCT_SRVC_BLD_DOCSBLD2;DOCSBLD2;Подписывать акты выполнения работ;Подписывать акты выполнения работ;07fefdc1-7917-4b32-85ed-4ffaa4e7f7dd;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSBLD2
BBDOCS_CNTRCT_TRFFC_PICKUP_CNTRCTPICKUP2;CNTRCTPICKUP2;Заключать и подписывать договоры на инкассацию денежных средств;Заключать и подписывать договоры на инкассацию денежных средств;16a1e7f6-51d6-493d-b306-8ea9a24ed446;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTPICKUP2
BBDOCS_CNTRCT_AGENCY_AGNC_CNTRCTAGNC2;CNTRCTAGNC2;Заключать и подписывать агентские договоры на авиабилеты;Заключать и подписывать агентские договоры на авиабилеты;61240e58-99bf-4567-bd8a-8a006a0fcd24;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTAGNC2
BBDOCS_CNTRCT_SRVC_BANK_DOCSBANK3;DOCSBANK3;Подписывать акты выполнения работ;Подписывать акты выполнения работ;315ec957-f949-4e92-9da4-6f0a82970049;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSBANK3
BBDOCS_CNTRCT_INSRNC_LBLT_CNTRCTLBLT51;CNTRCTLBLT51;Заключать и подписывать договоры добровольного страхования гражданской ответственности за причинение вреда третьим лицам при осуществлении космической деятельности;Заключать и подписывать договоры добровольного страхования гражданской ответственности за причинение вреда третьим лицам при осуществлении космической деятельности;7411436c-0099-4576-99aa-fc1b16f6f222;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTLBLT51
BBDOCS_CNTRCT_INSRNC_PRSNL_ADDTNLCNTRCTPRSNLGENERAL;ADDTNLCNTRCTPRSNLGENERAL;Заключать и подписывать к договорам личного страхования приложения, спецификации, дополнительные соглашения (соглашения) об их изменении, расторжении и прекращении;Заключать и подписывать к договорам личного страхования приложения, спецификации, дополнительные соглашения (соглашения) об их изменении, расторжении и прекращении;0d48ab1a-4b17-4642-ae78-b93ef7e33537;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_ADDTNLCNTRCTPRSNLGENERAL
BBDOCS_CNTRCT_SRVC_FCTRNG_CNTRCTFCTRNG1;CNTRCTFCTRNG1;Заключать и подписывать договоры торгового и экспортного финансирования;Заключать и подписывать договоры торгового и экспортного финансирования;991928bd-8006-408e-bc1f-454d9cb272c3;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTFCTRNG1
BBDOCS_CNTRCT_INSRNC_FRSKS_DOCSFRSKS6;DOCSFRSKS6;Подписывать запросы и иные документы, адресованные третьим лицам касательно взыскания страховой организацией денежных средств в порядке суброгации и регресса;Подписывать запросы и иные документы, адресованные третьим лицам касательно взыскания страховой организацией денежных средств в порядке суброгации и регресса;67c4ac52-5415-4ad9-b1ed-c4ca55c4ad99;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSFRSKS6
BBDOCS_CNTRCT_INSRNC_PRPRT_CNTRCTPRPRT44;CNTRCTPRPRT44;Заключать и подписывать договоры добровольного страхование имущества граждан (кроме страхования транспортных средств и сельскохозяйственного страхования);Заключать и подписывать договоры добровольного страхование имущества граждан (кроме страхования транспортных средств и сельскохозяйственного страхования);3958e91e-7362-4bb5-8a65-072e4f831658;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTPRPRT44
BBDOCS_CNTRCT_INSRNC_FRSKS_DOCSFRSKS1;DOCSFRSKS1;Подписывать документы, связанные с отказом в страховой выплате;Подписывать документы, связанные с отказом в страховой выплате;67c4ac52-5415-4ad9-b1ed-c4ca55c4ad99;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_DOCSFRSKS1
BBDOCS_CNTRCT_TRFFC_TRNSPRT_CNTRCTTRNSPRT6;CNTRCTTRNSPRT6;Заключать и подписывать договоры об оказании услуг по международной перевозке грузов и транспортно-экспедиционных услуг;Заключать и подписывать договоры об оказании услуг по международной перевозке грузов и транспортно-экспедиционных услуг;20d9419a-eea2-43a9-ab03-ad64d5fb7b73;BB;01.09.2023;;;PUB;"[""P"", ""OA"", ""OB"", ""OL""]";"[""P"", ""OA"", ""OB"", ""OL""]";"{""isRestriction"": false}";;;POWER_PWR_CLASS_MCHD_ANOTHER_CNTRCTTRNSPRT6
